Date,Affected pages
2026-04-24,7
2026-04-25,7
2026-04-26,7
2026-04-27,7
2026-04-28,7
2026-04-29,7
2026-04-30,7
2026-05-01,7
2026-05-02,16
2026-05-03,16
2026-05-04,16
2026-05-05,7
2026-05-06,7
2026-05-07,7
2026-05-08,7
2026-05-09,7
2026-05-10,7
2026-05-11,7
2026-05-12,7
2026-05-13,7
2026-05-14,7
2026-05-15,7
2026-05-16,7
2026-05-17,7
2026-05-18,7
2026-05-19,25
2026-05-20,25
2026-05-21,25
2026-05-22,25
2026-05-23,60
2026-05-24,60
2026-05-25,60
2026-05-26,136
2026-05-27,136
2026-05-28,136
2026-05-29,136
2026-05-30,184
2026-05-31,184
2026-06-01,184
2026-06-02,264
2026-06-03,264
2026-06-04,264
2026-06-05,264
2026-06-06,306
2026-06-07,306
2026-06-08,306
2026-06-09,384
2026-06-10,384
2026-06-11,384
2026-06-12,384
2026-06-13,574
2026-06-14,574
2026-06-15,574
2026-06-16,574
2026-06-17,574
2026-06-18,574
2026-06-19,574
2026-06-20,574
2026-06-21,574
2026-06-22,574
2026-06-23,574
2026-06-24,574
2026-06-25,574
2026-06-26,574
2026-06-27,574
2026-06-28,574
2026-06-29,574
2026-06-30,574
2026-07-01,648
2026-07-02,648
2026-07-03,648
2026-07-04,648
2026-07-05,648
2026-07-06,648
2026-07-07,648
2026-07-08,648
2026-07-09,648
2026-07-10,648
